Date_Index,Total Primary Energy Consumption (Quadrillion BTUs),Bullish Sentiment,Neutral Sentiment,Bearish Sentiment,Bull-Bear Spread,S&P 500 Weekly Close
7-1987,6.630484,0.26,0.48,0.26,0.0,318.66
8-1987,6.518294,0.52,0.18,0.3,0.22,323.04
9-1987,6.127542,0.53,0.17,0.3,0.23,320.16
10-1987,6.366409,0.44,0.23,0.33,0.11,251.79
11-1987,6.346123,0.27,0.46,0.27,0.0,240.34
12-1987,7.281541000000001,0.25,0.49,0.26,-0.01,247.08
1-1988,7.804136,0.26,0.45,0.29,-0.03,257.07
2-1988,7.3118490000000005,0.3,0.51,0.19,0.11,262.46
3-1988,7.300926,0.45,0.38,0.17,0.28,258.51
4-1988,6.453888,0.22,0.48,0.3,-0.08,261.33
5-1988,6.394683000000001,0.28,0.52,0.2,0.08,253.42
6-1988,6.511855000000001,0.33,0.44,0.23,0.1,273.78
7-1988,6.750241,0.23,0.54,0.23,0.0,272.02
8-1988,6.992534,0.28,0.4,0.32,-0.04,259.68
9-1988,6.3449029999999995,0.26,0.44,0.3,-0.04,271.91
10-1988,6.5910779999999995,0.4,0.38,0.22,0.18,278.53
11-1988,6.708189999999999,0.17,0.44,0.39,-0.22,267.23
12-1988,7.544911,0.24,0.54,0.22,0.02,277.72
1-1989,7.643419000000001,0.32,0.49,0.19,0.13,293.82
2-1989,7.233498,0.29,0.45,0.26,0.03,287.13
3-1989,7.545703,0.18,0.42,0.4,-0.22,294.87
4-1989,6.664216000000001,0.31,0.4,0.29,0.02,309.64
5-1989,6.639139999999999,0.48,0.31,0.21,0.27,321.59
6-1989,6.6973460000000005,0.4,0.34,0.26,0.14,317.98
7-1989,6.859659,0.41,0.25,0.34,0.07,342.15
8-1989,7.031494,0.45,0.24,0.31,0.14,350.52
9-1989,6.484541,0.33,0.38,0.29,0.04,349.15
10-1989,6.7940309999999995,0.36,0.33,0.31,0.05,335.06
11-1989,6.943560000000001,0.27,0.4,0.33,-0.06,343.97
12-1989,8.248724000000001,0.35,0.31,0.34,0.01,353.4
1-1990,7.8129669999999996,0.24,0.38,0.38,-0.14,325.8
2-1990,7.0070559999999995,0.24,0.38,0.38,-0.14,324.15
3-1990,7.309417999999999,0.34,0.35,0.31,0.03,339.94
4-1990,6.771439,0.28,0.35,0.37,-0.09,329.11
5-1990,6.750375999999999,0.39,0.32,0.29,0.1,354.58
6-1990,6.759777000000001,0.31,0.31,0.38,-0.07,358.02
7-1990,7.036447,0.52,0.24,0.24,0.28,353.44
8-1990,7.283532000000001,0.23,0.16,0.61,-0.38,322.56
9-1990,6.618049000000001,0.26,0.2,0.54,-0.28,306.05
10-1990,6.8124139999999995,0.23,0.19,0.58,-0.35,304.71
11-1990,6.776438000000001,0.22,0.33,0.45,-0.23,322.22
12-1990,7.546645,0.3,0.3,0.4,-0.1,328.72
1-1991,8.078661,0.25,0.25,0.5,-0.25,336.07
2-1991,6.866738000000001,0.57,0.2,0.23,0.34,365.65
3-1991,7.1440660000000005,0.47,0.28,0.25,0.22,375.22
4-1991,6.540723000000001,0.55,0.28,0.17,0.38,379.02
5-1991,6.659213,0.42,0.35,0.23,0.19,389.83
6-1991,6.702509,0.28,0.37,0.35,-0.07,371.16
7-1991,7.102867999999999,0.35,0.42,0.23,0.12,380.93
8-1991,7.117700999999999,0.41,0.4,0.19,0.22,395.43
9-1991,6.662225,0.31,0.38,0.31,0.0,385.9
10-1991,6.862825,0.31,0.36,0.33,-0.02,384.2
11-1991,7.011114,0.33,0.27,0.4,-0.07,376.55
12-1991,7.688591000000001,0.39,0.29,0.32,0.07,406.46
1-1992,7.988956,0.47,0.26,0.27,0.2,408.79
2-1992,7.247705000000001,0.43,0.36,0.21,0.22,412.7
3-1992,7.353583,0.43,0.35,0.22,0.21,403.5
4-1992,6.8459970000000006,0.52,0.34,0.14,0.38,409.02
5-1992,6.7024029999999994,0.41,0.43,0.16,0.25,415.35
6-1992,6.719321000000001,0.39,0.34,0.27,0.12,403.45
7-1992,7.164272,0.22,0.47,0.31,-0.09,424.21
8-1992,7.033411,0.3,0.37,0.33,-0.03,414.84
9-1992,6.686894000000001,0.25,0.34,0.41,-0.16,414.35
10-1992,6.906882,0.35,0.35,0.3,0.05,418.68
11-1992,7.083547,0.43,0.37,0.2,0.23,429.19
12-1992,8.04921,0.55,0.3,0.15,0.4,439.77
1-1993,7.9155429999999996,0.4,0.37,0.23,0.17,438.78
2-1993,7.4275850000000005,0.34,0.32,0.34,0.0,443.38
3-1993,7.820028,0.43,0.34,0.23,0.2,447.78
4-1993,6.9108220000000005,0.22,0.37,0.41,-0.19,440.19
5-1993,6.65401,0.24,0.37,0.39,-0.15,450.19
6-1993,6.850776,0.28,0.38,0.34,-0.06,447.6
7-1993,7.316682000000001,0.25,0.45,0.3,-0.05,448.13
8-1993,7.341042,0.27,0.35,0.38,-0.11,460.54
9-1993,6.822427,0.28,0.4,0.32,-0.04,457.63
10-1993,6.991611,0.43,0.33,0.24,0.19,467.83
11-1993,7.289116,0.45,0.3,0.25,0.2,462.36
12-1993,8.025875,0.44,0.28,0.28,0.16,466.45
1-1994,8.593475,0.41,0.25,0.34,0.07,478.7
2-1994,7.749864,0.41,0.3,0.29,0.12,466.07
3-1994,7.672317999999999,0.23,0.33,0.44,-0.21,445.77
4-1994,6.987178999999999,0.27,0.35,0.38,-0.11,450.91
5-1994,6.894535,0.29,0.33,0.38,-0.09,457.33
6-1994,7.170472,0.32,0.37,0.31,0.01,446.2
7-1994,7.399178999999999,0.27,0.42,0.31,-0.04,458.26
8-1994,7.481432000000001,0.32,0.39,0.29,0.03,473.8
9-1994,6.8900440000000005,0.38,0.32,0.3,0.08,462.69
10-1994,7.079200999999999,0.43,0.38,0.19,0.24,473.77
11-1994,7.1565970000000005,0.44,0.3,0.26,0.18,453.3
12-1994,8.013033,0.4,0.43,0.17,0.23,459.27
1-1995,8.229301,0.38,0.37,0.25,0.13,470.39
2-1995,7.603153999999999,0.46,0.37,0.17,0.29,488.11
3-1995,7.74938,0.52,0.23,0.25,0.27,500.71
4-1995,7.113904,0.52,0.29,0.19,0.33,514.71
5-1995,7.158825,0.44,0.26,0.3,0.14,523.65
6-1995,7.2393350000000005,0.35,0.28,0.37,-0.02,544.75
7-1995,7.633856,0.41,0.26,0.33,0.08,562.93
8-1995,7.925889,0.38,0.42,0.2,0.18,563.84
9-1995,7.14416,0.42,0.27,0.31,0.11,584.41
10-1995,7.233072,0.46,0.33,0.21,0.25,579.7
11-1995,7.5806949999999995,0.51,0.3,0.19,0.32,606.98
12-1995,8.419023,0.46,0.34,0.2,0.26,615.93
1-1996,8.783559,0.36,0.4,0.24,0.12,621.62
2-1996,8.111049000000001,0.45,0.28,0.27,0.18,644.37
3-1996,8.199226,0.45,0.31,0.24,0.21,645.5
4-1996,7.3688210000000005,0.28,0.4,0.32,-0.04,653.46
5-1996,7.469619000000001,0.61,0.29,0.1,0.51,669.12
6-1996,7.4526520000000005,0.42,0.41,0.17,0.25,670.63
7-1996,7.76483,0.3,0.32,0.38,-0.08,635.9
8-1996,7.876613000000001,0.28,0.43,0.29,-0.01,651.99
9-1996,7.153579,0.34,0.39,0.27,0.07,686.19
10-1996,7.624557000000001,0.37,0.29,0.34,0.03,703.77
11-1996,7.802992,0.52,0.27,0.21,0.31,755.0
12-1996,8.412995,0.37,0.33,0.3,0.07,756.79
1-1997,8.831650999999999,0.51,0.33,0.16,0.35,786.16
2-1997,7.794506,0.63,0.22,0.15,0.48,790.82
3-1997,7.992522,0.27,0.4,0.33,-0.06,773.88
4-1997,7.530863,0.28,0.4,0.32,-0.04,765.37
5-1997,7.484286999999999,0.4,0.4,0.2,0.2,848.28
6-1997,7.4732520000000005,0.52,0.25,0.23,0.29,887.3
7-1997,8.098819,0.48,0.26,0.26,0.22,947.14
8-1997,7.917539,0.5,0.28,0.22,0.28,899.47
9-1997,7.420014999999999,0.39,0.42,0.19,0.2,945.22
10-1997,7.684591999999999,0.41,0.36,0.23,0.18,914.62
11-1997,7.757339999999999,0.4,0.4,0.2,0.2,955.4
12-1997,8.614964,0.34,0.35,0.31,0.03,975.04
1-1998,8.616183,0.38,0.42,0.2,0.18,980.28
2-1998,7.652794999999999,0.53,0.33,0.14,0.39,1049.34
3-1998,8.177663,0.45,0.35,0.2,0.25,1093.55
4-1998,7.518039999999999,0.44,0.31,0.25,0.19,1121.0
5-1998,7.582566,0.34,0.4,0.26,0.08,1090.82
6-1998,7.722524000000001,0.28,0.44,0.28,0.0,1133.2
7-1998,8.284189999999999,0.44,0.36,0.2,0.24,1120.67
8-1998,8.233696,0.23,0.32,0.45,-0.22,1027.04
9-1998,7.622258,0.34,0.38,0.28,0.06,1044.75
10-1998,7.616741,0.43,0.36,0.21,0.22,1098.67
11-1998,7.513975,0.48,0.35,0.17,0.31,1192.33
12-1998,8.477089,0.41,0.37,0.22,0.19,1229.23
1-1999,8.919388,0.47,0.33,0.2,0.27,1279.64
2-1999,7.816389999999999,0.37,0.39,0.24,0.13,1238.33
3-1999,8.377728,0.38,0.33,0.29,0.09,1282.8
4-1999,7.664188,0.41,0.32,0.27,0.14,1335.18
5-1999,7.630739999999999,0.38,0.42,0.2,0.18,1301.84
6-1999,7.812539,0.3,0.39,0.31,-0.01,1315.31
7-1999,8.377748,0.42,0.38,0.2,0.22,1328.72
8-1999,8.385765,0.35,0.4,0.25,0.1,1348.27
9-1999,7.618925999999999,0.35,0.42,0.23,0.12,1282.81
10-1999,7.722721000000001,0.38,0.38,0.24,0.14,1362.93
11-1999,7.641868,0.55,0.28,0.17,0.38,1416.62
12-1999,8.680406,0.6,0.25,0.15,0.45,1469.25
1-2000,8.955636,0.537,0.2593,0.2037,0.3333,1360.16
2-2000,8.411859,0.4138,0.2759,0.3103,0.1035,1333.36
3-2000,8.30332,0.3889,0.1111,0.5,-0.1111,1498.58
4-2000,7.678507000000001,0.6129,0.2419,0.1452,0.4677,1452.43
5-2000,8.0351,0.3492,0.2857,0.3651,-0.0159,1378.02
6-2000,8.012121,0.2667,0.3333,0.4,-0.1333,1441.48
7-2000,8.239752000000001,0.4286,0.3714,0.2,0.2286,1480.19
8-2000,8.552419,0.5588,0.2647,0.1765,0.3823,1506.45
9-2000,7.701913,0.5333,0.4,0.0667,0.4666,1448.72
10-2000,7.770346000000001,0.6409999999999999,0.1795,0.1795,0.4615,1396.93
11-2000,7.949186,0.6042,0.2292,0.1667,0.4375,1341.77
12-2000,9.206358999999999,0.4,0.28,0.32,0.08,1305.95
1-2001,9.235907000000001,0.4923,0.2462,0.2615,0.2308,1342.54
2-2001,8.079536000000001,0.2632,0.3509,0.386,-0.1228,1301.53
3-2001,8.48219,0.3725,0.3529,0.2745,0.098,1160.33
4-2001,7.647441000000001,0.4655,0.2241,0.3103,0.1552,1253.05
5-2001,7.637838,0.4935,0.2208,0.2857,0.2078,1260.67
6-2001,7.6613050000000005,0.3038,0.3671,0.3291,-0.0253,1224.38
7-2001,8.153538000000001,0.2952,0.3238,0.381,-0.0858,1205.82
8-2001,8.312785,0.3143,0.4571,0.2286,0.0857,1133.58
9-2001,7.409745,0.5111,0.2667,0.2222,0.2889,1040.94
10-2001,7.726907000000001,0.5588,0.2647,0.1765,0.3823,1104.61
11-2001,7.553598,0.6933,0.1067,0.2,0.4933,1139.45
12-2001,8.268881,0.5769,0.1538,0.2692,0.3077,1161.02
1-2002,8.800585,0.4545,0.3182,0.2273,0.2272,1122.2
2-2002,7.865227,0.4444,0.3519,0.2037,0.2407,1131.78
3-2002,8.369233,0.5116,0.2558,0.2326,0.27899999999999997,1144.58
4-2002,7.766783,0.3667,0.4,0.2333,0.1334,1093.14
5-2002,7.809119,0.2826,0.3152,0.4022,-0.1196,1067.66
6-2002,7.89854,0.3097,0.2301,0.4602,-0.1505,973.53
7-2002,8.434811999999999,0.2791,0.2326,0.4884,-0.2093,843.43
8-2002,8.354479,0.5,0.2097,0.2903,0.2097,917.87
9-2002,7.669511999999999,0.2451,0.2843,0.4706,-0.2255,839.66
10-2002,7.8111369999999996,0.5147,0.2059,0.2794,0.2353,890.71
11-2002,8.022469000000001,0.5106,0.1702,0.3191,0.1915,936.31
12-2002,8.841583,0.4,0.28,0.32,0.08,897.38
1-2003,9.241591,0.2553,0.266,0.4787,-0.2234,864.36
2-2003,8.438335,0.2602,0.2683,0.4715,-0.2113,827.55
3-2003,8.389685,0.3942,0.2788,0.3269,0.0673,869.95
4-2003,7.674461999999999,0.63,0.18,0.19,0.44,919.02
5-2003,7.669815,0.6286,0.2286,0.1429,0.4857,963.59
6-2003,7.648233,0.7143,0.2,0.0857,0.6286,976.22
7-2003,8.278264,0.5154,0.3231,0.1615,0.3539,980.15
8-2003,8.398404,0.5670000000000001,0.2062,0.2268,0.3402,1008.01
9-2003,7.613088,0.5728,0.2039,0.2233,0.3495,996.85
10-2003,7.789586,0.5781,0.2344,0.1875,0.3906,1048.11
11-2003,7.842581,0.6038,0.1887,0.2075,0.3963,1058.2
12-2003,8.933464,0.6552,0.1724,0.1724,0.4828,1095.89
1-2004,9.35811,0.5688,0.2813,0.15,0.4188,1128.48
2-2004,8.740869,0.4158,0.2789,0.3053,0.1105,1143.67
3-2004,8.437923,0.3148,0.2593,0.4259,-0.1111,1091.33
4-2004,7.800141,0.5,0.2879,0.2121,0.2879,1122.41
5-2004,7.973838000000001,0.3611,0.2361,0.4028,-0.0417,1114.94
6-2004,7.989125,0.5641,0.2051,0.2308,0.3333,1144.06
7-2004,8.413157,0.34,0.3,0.36,-0.02,1095.42
8-2004,8.361833,0.4153,0.3305,0.2542,0.1611,1104.96
9-2004,7.837847,0.4107,0.1964,0.3929,0.0178,1114.8
10-2004,7.95608,0.4231,0.2596,0.3173,0.1058,1125.4
11-2004,8.057561,0.4948,0.2371,0.268,0.2268,1181.76
12-2004,9.163219,0.5766,0.2482,0.1752,0.4014,1213.45
1-2005,9.295272,0.2643,0.3714,0.3643,-0.1,1174.07
2-2005,8.290854,0.3182,0.3636,0.3182,0.0,1190.8
3-2005,8.733945,0.2843,0.2059,0.5098,-0.2255,1181.41
4-2005,7.721767999999999,0.2975,0.3554,0.3471,-0.0496,1156.38
5-2005,7.94615,0.4414,0.3243,0.2342,0.2072,1190.01
6-2005,8.179557,0.4589,0.2466,0.2945,0.1644,1199.85
7-2005,8.589189999999999,0.5752,0.2484,0.1765,0.3987,1236.79
8-2005,8.695843,0.3614,0.3253,0.3133,0.0481,1217.59
9-2005,7.794536,0.3188,0.2899,0.3913,-0.0725,1216.89
10-2005,7.788639999999999,0.3205,0.2179,0.4615,-0.141,1191.38
11-2005,7.946623,0.5733,0.2667,0.16,0.4133,1265.61
12-2005,9.205343,0.373,0.2619,0.3651,0.0079,1258.17
1-2006,8.822708,0.3077,0.359,0.3333,-0.0256,1283.72
2-2006,8.19774,0.4321,0.284,0.284,0.1481,1292.67
3-2006,8.592652000000001,0.3721,0.3023,0.3256,0.0465,1302.89
4-2006,7.717442,0.4211,0.2193,0.3596,0.0615,1310.61
5-2006,7.964308,0.3304,0.2143,0.4554,-0.125,1258.57
6-2006,8.15313,0.386,0.2164,0.3977,-0.0117,1255.88
7-2006,8.639978,0.3488,0.2209,0.4302,-0.0814,1268.4
8-2006,8.738868,0.4157,0.3258,0.2584,0.1573,1302.93
9-2006,7.792915,0.5132,0.1579,0.3289,0.1843,1336.87
10-2006,8.027435,0.5217,0.1739,0.3043,0.2174,1385.15
11-2006,8.036054,0.4022,0.1229,0.4749,-0.0727,1395.97
12-2006,8.801261,0.46,0.18,0.36,0.1,1424.73
1-2007,9.22768,0.3951,0.2716,0.3333,0.0618,1436.31
2-2007,8.759425,0.5385,0.2385,0.2231,0.3154,1459.85
3-2007,8.564661,0.4268,0.3171,0.2561,0.1707,1422.53
4-2007,7.926195,0.3924,0.2278,0.3797,0.0127,1495.42
5-2007,8.024021000000001,0.3333,0.2188,0.4479,-0.1146,1530.23
6-2007,8.100405,0.3902,0.252,0.3577,0.0325,1515.67
7-2007,8.493654,0.4421,0.1895,0.3684,0.0737,1517.91
8-2007,8.823083,0.40299999999999997,0.1343,0.4627,-0.0597,1463.76
9-2007,7.943613,0.4937,0.1646,0.3418,0.1519,1525.42
10-2007,7.974792,0.3125,0.2054,0.4821,-0.1696,1515.88
11-2007,8.084942999999999,0.2857,0.1531,0.5612,-0.2755,1469.02
12-2007,9.092282,0.3,0.2,0.5,-0.2,1496.45
1-2008,9.422272999999999,0.3008,0.2105,0.4887,-0.1879,1355.81
2-2008,8.660841,0.3431,0.2044,0.4526,-0.1095,1380.02
3-2008,8.596909,0.41600000000000004,0.248,0.336,0.08,1341.13
4-2008,7.843806,0.4667,0.2583,0.275,0.1917,1379.93
5-2008,7.902873,0.3136,0.2288,0.4576,-0.14400000000000002,1390.84
6-2008,8.04851,0.3125,0.1648,0.5227,-0.2102,1321.97
7-2008,8.423805,0.4,0.1882,0.4118,-0.0118,1284.26
8-2008,8.223423,0.3068,0.2386,0.4545,-0.1477,1281.66
9-2008,7.357858,0.3404,0.2021,0.4574,-0.11699999999999999,1185.87
10-2008,7.790578,0.3714,0.2229,0.4057,-0.0343,930.09
11-2008,7.815643,0.3125,0.2386,0.4489,-0.1364,887.68
12-2008,8.804236,0.2895,0.2719,0.4386,-0.1491,872.8
1-2009,9.1361,0.2527,0.2747,0.4725,-0.2198,874.09
2-2009,7.880433,0.243,0.2056,0.5514,-0.3084,764.9
3-2009,8.056741,0.3913,0.1848,0.4239,-0.0326,813.88
4-2009,7.348086,0.3609,0.203,0.4361,-0.0752,873.64
5-2009,7.2944130000000005,0.4037,0.1101,0.4862,-0.0825,893.06
6-2009,7.544098,0.28,0.23199999999999998,0.488,-0.20800000000000002,900.94
7-2009,7.822878,0.4767,0.2093,0.314,0.1627,975.15
8-2009,7.970716,0.3398,0.1748,0.4854,-0.1456,1028.12
9-2009,7.278935000000001,0.3909,0.1636,0.4455,-0.0546,1060.87
10-2009,7.480996,0.3365,0.2404,0.4231,-0.0866,1042.63
11-2009,7.456171,0.4166,0.1666,0.4166,0.0,1110.63
12-2009,8.848046,0.4918,0.2787,0.2295,0.2623,1115.1
1-2010,9.124794999999999,0.35,0.2833,0.3667,-0.0167,1097.5
2-2010,8.207192,0.3489,0.3557,0.2953,0.0536,1094.6
3-2010,8.195464,0.3239,0.3295,0.3466,-0.0227,1167.72
4-2010,7.364082000000001,0.4136,0.3,0.2864,0.1272,1191.36
5-2010,7.670747,0.2983,0.193,0.5088,-0.2105,1067.95
6-2010,8.002324,0.3446,0.3311,0.3243,0.0203,1092.04
7-2010,8.374365,0.4,0.2667,0.3333,0.0667,1106.13
8-2010,8.438044,0.2074,0.2979,0.4947,-0.2873,1055.33
9-2010,7.688314,0.4253,0.2586,0.3161,0.1092,1144.73
10-2010,7.499839,0.5123,0.2716,0.21600000000000003,0.2963,1182.45
11-2010,7.789563,0.474,0.2792,0.2468,0.2272,1199.73
12-2010,9.22533,0.5161,0.2834,0.2005,0.3156,1259.78
1-2011,9.291391,0.4204,0.2367,0.3429,0.0775,1296.63
2-2011,8.101391,0.3663,0.2723,0.3614,0.0049,1343.01
3-2011,8.33538,0.4181,0.2712,0.3107,0.1074,1328.26
4-2011,7.495372,0.379,0.3145,0.3065,0.0725,1347.24
5-2011,7.575646000000001,0.2561,0.3297,0.4142,-0.1581,1343.6
6-2011,7.890110000000001,0.3831,0.3149,0.3019,0.0812,1307.41
7-2011,8.381223,0.3784,0.3074,0.3142,0.0642,1304.89
8-2011,8.405122,0.3644,0.226,0.4096,-0.0452,1159.27
9-2011,7.559336999999999,0.3251,0.2068,0.4679,-0.1428,1151.06
10-2011,7.575302000000001,0.43,0.32,0.25,0.18,1242.0
11-2011,7.786734,0.3271,0.2901,0.3827,-0.0556,1158.67
12-2011,8.579019,0.406,0.2857,0.30827,0.09773,1249.64
1-2012,8.676135,0.48397399999999996,0.32692,0.1891,0.29487399999999997,1326.06
2-2012,7.965389,0.43688999999999995,0.28802,0.27508,0.16180999999999998,1357.66
3-2012,7.679829,0.4247,0.3205,0.2548,0.1699,1405.54
4-2012,7.221172,0.276423,0.349593,0.37398400000000004,-0.097561,1390.69
5-2012,7.614108,0.280156,0.299611,0.42023299999999997,-0.140077,1313.32
6-2012,7.736037,0.28668899999999997,0.269625,0.44368599999999997,-0.156997,1331.85
7-2012,8.295973,0.28115,0.28754,0.43131,-0.15016,1337.89
8-2012,8.233448,0.347222,0.326389,0.326389,0.020833,1410.49
9-2012,7.371753,0.361011,0.274368,0.36462100000000003,-0.00361,1433.32
10-2012,7.575328999999999,0.292453,0.27673000000000003,0.43081800000000003,-0.13836500000000002,1408.75
11-2012,7.769633,0.40926599999999996,0.247104,0.343629,0.065637,1409.93
12-2012,8.396173,0.44403000000000004,0.253731,0.302239,0.141791,1419.83
1-2013,8.988408,0.480447,0.276536,0.243017,0.23743000000000003,1501.96
2-2013,8.02081,0.283912,0.35015799999999997,0.365931,-0.08201900000000001,1515.99
3-2013,8.387762,0.383954,0.329513,0.286533,0.09742100000000001,1562.85
4-2013,7.528009,0.282895,0.328947,0.388158,-0.10526300000000001,1578.79
5-2013,7.625102,0.359684,0.34387399999999996,0.29644299999999996,0.06324099999999999,1648.36
6-2013,7.730239,0.302752,0.345566,0.351682,-0.04893,1603.26
7-2013,8.279091000000001,0.45117799999999997,0.323232,0.22558899999999998,0.22558899999999998,1685.94
8-2013,8.178154,0.335404,0.357143,0.30745300000000003,0.027951,1634.96
9-2013,7.647513000000001,0.36054400000000003,0.333333,0.306122,0.054422000000000005,1692.77
10-2013,7.7303429999999995,0.449664,0.33557,0.214765,0.23489899999999997,1763.31
11-2013,8.13992,0.473016,0.244444,0.28254,0.190476,1807.23
12-2013,9.085094,0.550562,0.264045,0.185393,0.365169,1833.32
1-2014,9.597733,0.321839,0.350575,0.327586,-0.0057469999999999995,1844.86
2-2014,8.435297,0.396907,0.391753,0.21134,0.185567,1845.16
3-2014,8.533102,0.31161500000000003,0.402266,0.286119,0.025496,1852.56
4-2014,7.564023,0.345029,0.394737,0.260234,0.08479500000000001,1875.39
5-2014,7.655245,0.364641,0.40331500000000003,0.232044,0.132597,1909.78
6-2014,7.78755,0.372208,0.41687299999999994,0.210918,0.16129000000000002,1959.53
7-2014,8.240312,0.311224,0.377551,0.311224,0.0,1970.07
8-2014,8.222363,0.519231,0.288462,0.19230799999999998,0.326923,2000.12
9-2014,7.662517,0.418367,0.29932,0.28231300000000004,0.136054,1998.3
10-2014,7.773324000000001,0.49371099999999996,0.295597,0.21069200000000002,0.283019,1982.3
11-2014,8.208486,0.521452,0.270627,0.207921,0.313531,2067.56
12-2014,8.810716000000001,0.509434,0.301887,0.18867899999999999,0.320755,2090.57
1-2015,9.293552,0.44171800000000006,0.334356,0.22392600000000001,0.217792,2002.16
2-2015,8.613263,0.45373100000000005,0.34328400000000003,0.202985,0.250746,2113.86
3-2015,8.436007,0.38429800000000003,0.37190100000000004,0.243802,0.140496,2061.05
4-2015,7.4718800000000005,0.30836199999999997,0.472125,0.21951199999999998,0.08885,2106.85
5-2015,7.652991,0.270019,0.47858500000000004,0.251397,0.018622,2123.48
6-2015,7.91029,0.355556,0.427778,0.216667,0.138889,2108.58
7-2015,8.438936,0.21105500000000002,0.38190999999999997,0.407035,-0.19598,2108.57
8-2015,8.322714999999999,0.325,0.292308,0.38269200000000003,-0.05769199999999999,1940.51
9-2015,7.69527,0.32119899999999996,0.391863,0.286938,0.034261,1966.97
10-2015,7.626183,0.403922,0.390196,0.205882,0.19804000000000002,2090.35
11-2015,7.685082,0.323601,0.416058,0.260341,0.06326,2090.11
12-2015,8.379869,0.250729,0.51312,0.236152,0.014577000000000001,2063.36
1-2016,9.064411999999999,0.297535,0.302817,0.399648,-0.102113,1882.95
2-2016,8.237571,0.311947,0.373894,0.314159,-0.002212,1929.8
3-2016,7.992649,0.271805,0.470588,0.257606,0.014199000000000002,2063.949951
4-2016,7.458301,0.273663,0.44032899999999997,0.286008,-0.012345,2095.149902
5-2016,7.594760000000001,0.177515,0.5286,0.29388600000000004,-0.116371,2090.540039
6-2016,7.945396000000001,0.289125,0.376658,0.33421799999999996,-0.045093,2070.77
7-2016,8.48541,0.3125,0.403409,0.284091,0.028408999999999997,2166.580078
8-2016,8.553543,0.294243,0.409382,0.296375,-0.002132,2175.44
9-2016,7.762231,0.24,0.388889,0.371111,-0.13111099999999998,2171.3701170000004
10-2016,7.664109,0.247549,0.41176499999999994,0.340686,-0.093137,2139.429932
11-2016,7.728924,0.498938,0.28025500000000003,0.220807,0.278131,2204.72
12-2016,9.094617999999999,0.455696,0.28692,0.257384,0.198312,2249.92
1-2017,8.987299,0.315789,0.34928200000000004,0.334928,-0.019139,2298.37
2-2017,7.633252000000001,0.384615,0.292308,0.323077,0.061538,2362.82
3-2017,8.458327,0.302181,0.323988,0.373832,-0.07165099999999999,2361.13
4-2017,7.461828999999999,0.380488,0.302439,0.317073,0.063415,2387.45
5-2017,7.818153999999999,0.328571,0.371429,0.3,0.028571,2404.39
6-2017,7.980952,0.297143,0.43428599999999995,0.268571,0.028572000000000004,2440.69
7-2017,8.429013000000001,0.344595,0.412162,0.243243,0.101352,2477.83
8-2017,8.313658,0.25,0.351064,0.398936,-0.14893599999999999,2457.59
9-2017,7.638135000000001,0.333333,0.37931,0.287356,0.045977,2507.04
10-2017,7.839891000000001,0.396396,0.273273,0.33033,0.066066,2557.15
11-2017,8.111326,0.35945900000000003,0.324324,0.316216,0.043243000000000004,2626.07
12-2017,9.196653999999999,0.526455,0.267196,0.20634899999999998,0.320106,2682.62
1-2018,9.668643,0.454545,0.305195,0.24026,0.214285,2837.54
2-2018,8.048857,0.44651199999999996,0.325581,0.22790700000000003,0.21860500000000002,2701.33
3-2018,8.676,0.319361,0.327345,0.35329299999999997,-0.033932,2605.0
4-2018,7.895465,0.369085,0.375394,0.255521,0.11356400000000001,2639.4
5-2018,8.017006,0.350181,0.386282,0.263538,0.086643,2724.01
6-2018,8.157678,0.284483,0.307471,0.408046,-0.123563,2699.63
